                    QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
11531  Tavg_z0.0517_t12       0  1.0  0.0   17  306.928505 -3.490919e+04  1.918226  4.787001e-02      NaN
11532  Tavg_z0.0517_t12       0  1.0  0.0   18  307.316165 -6.158564e+03  1.542985  1.837302e-01      NaN
11533  Tavg_z0.0517_t12       0  1.0  0.0   19  306.926468 -5.151952e+04  2.000000  1.016045e-01      NaN
11534  Tavg_z0.0517_t12       0  1.0  0.0   20  307.162768 -3.970071e+03  1.480998  1.722636e-01      NaN
11535  Tavg_z0.0517_t12       0  1.0  0.0   21  306.925551 -4.989691e+04  2.000000  1.424325e-01      NaN
11536  Tavg_z0.0517_t12       0  1.0  0.0   22  306.926873 -5.299771e+04  2.000000  1.332451e-01      NaN
11537  Tavg_z0.0517_t12       0  1.0  0.0   23  307.008126 -1.144622e+04  1.739522  1.480903e-01      NaN
11538  Tavg_z0.0517_t12       0  1.0  0.0   24  306.928494 -3.244076e+04  1.909375  2.257726e-02      NaN
11539  Tavg_z0.0517_t12       0  1.0  0.0   25  306.901950 -4.606626e+04  2.000000  1.315514e-01      NaN
11540  Tavg_z0.0517_t12       0  1.0  0.0   26  306.998461 -3.997159e+03  1.535091  2.261740e-01      NaN
11541  Tavg_z0.0517_t12       0  1.0  0.0   27  306.928066 -5.294730e+04  2.000000  1.225420e-01      NaN
11542  Tavg_z0.0517_t12       0  1.0  0.0   28  306.926798 -5.271279e+04  2.000000  9.439424e-02      NaN
11543  Tavg_z0.0517_t12       0  1.0  0.0   29  306.927837 -5.274164e+04  2.000000  2.181734e-01      NaN
11544  Tavg_z0.0517_t12       0  1.0  0.0   30  306.937015 -2.646546e+04  1.864271  7.935839e-02      NaN
11545  Tavg_z0.0517_t12       0  1.0  0.0   31  308.280550 -4.931747e+01  0.558333  2.421533e-01      NaN
11546  Tavg_z0.0517_t12       0  1.0  0.0   32  306.926855 -5.291375e+04  2.000000  5.642799e-02      NaN
11547  Tavg_z0.0517_t12       0  1.0  0.0   33  306.899071 -4.893632e+04  1.987598  2.325922e-01      NaN
11548  Tavg_z0.0517_t12       0  1.0  0.0   34  306.926981 -3.214815e+04  1.926758  9.768934e-02      NaN
11549  Tavg_z0.0517_t12       0  1.0  0.0   35  306.881849 -4.207287e+04  1.962109  1.018269e-01      NaN
11550  Tavg_z0.0517_t12       0  1.0  0.0   36  306.906014 -5.241829e+04  2.000000  1.185452e-01      NaN
11551  Tavg_z0.0517_t12       0  1.0  0.0   37  306.927814 -2.840163e+04  1.902441  9.134842e-02      NaN
11552  Tavg_z0.0517_t12       0  1.0  0.0   38  306.872783 -3.963189e+04  2.000000  2.085359e-01      NaN
11553  Tavg_z0.0517_t12       0  1.0  0.0   39  306.930944 -2.172808e+04  1.849725  5.677946e-02      NaN
11554  Tavg_z0.0517_t12       0  1.0  0.0   40  307.103588 -5.010106e+04  1.972656  9.627844e-02      NaN
11555  Tavg_z0.0517_t12       0  1.0  0.0   41  306.920171 -2.582620e+04  1.865682  1.986055e-01      NaN
11556  Tavg_z0.0517_t12       0  1.0  0.0   42  306.998652 -1.929861e+04  1.806525  8.456167e-02      NaN
11557  Tavg_z0.0517_t12       0  1.0  0.0   43  306.876261 -5.012472e+04  2.000000  6.439120e-02      NaN
11558  Tavg_z0.0517_t12       0  1.0  0.0   44  306.990630 -5.448587e+04  2.000000  1.638453e-01      NaN
11559  Tavg_z0.0517_t12       0  1.0  0.0   45  306.926916 -5.232463e+04  2.000000  1.004139e-01      NaN
11560  Tavg_z0.0517_t12       0  1.0  0.0   46  306.947216 -3.342030e+04  1.908105  8.752734e-02      NaN
11561  Tavg_z0.0517_t12       0  1.0  0.0   47  306.926462 -5.151923e+04  2.000000  1.109905e-01      NaN
11562  Tavg_z0.0517_t12       0  1.0  0.0   48  306.927087 -4.166812e+04  1.955469  1.539758e-01      NaN
11563  Tavg_z0.0517_t12       0  1.0  0.0   49  307.110229 -6.642790e+03  1.576419  2.701946e-01      NaN
11564  Tavg_z0.0517_t12       0  1.0  0.0   50  306.918233 -3.150524e+04  1.899536  1.208447e-01      NaN
11565  Tavg_z0.0517_t12       0  1.0  0.0   51  307.220677 -6.006981e+01  0.750326  1.395820e-01      NaN
11566  Tavg_z0.0517_t12       0  1.0  0.0   52  307.138144 -7.064506e+02  1.179492  1.088355e-01      NaN
11567  Tavg_z0.0517_t12       0  1.0  0.0   53  307.155751 -5.236394e+03  1.530320  1.240601e-01      NaN
11568  Tavg_z0.0517_t12       0  1.0  0.0   54  306.984799 -5.452331e+04  2.000000  2.028201e-01      NaN
11569  Tavg_z0.0517_t12       0  1.0  0.0   55  306.927140 -5.272228e+04  2.000000  1.180970e-01      NaN
11570  Tavg_z0.0517_t12       0  1.0  0.0   56  306.984337 -5.431110e+04  2.000000  9.958769e-02      NaN
11571  Tavg_z0.0517_t12       0  1.0  0.0   57  307.531993 -2.359082e+01  0.525461  2.543684e-01      NaN
11572  Tavg_z0.0517_t12       0  1.0  0.0   58  306.940980 -3.586440e+03  1.521273  6.979682e-02      NaN
11573  Tavg_z0.0517_t12       0  1.0  0.0   59  307.057107 -2.891805e+03  1.441431  1.350135e-01      NaN
11574  Tavg_z0.0517_t12       0  1.0  0.0   60  306.938767 -4.146478e+04  2.000000  8.089683e-02      NaN
11575  Tavg_z0.0517_t12       0  1.0  0.0   61  306.918255 -4.969427e+04  2.000000  1.098494e-01      NaN
11576  Tavg_z0.0517_t12       0  1.0  0.0   62  306.950874 -8.603165e+03  1.666336  6.395544e-02      NaN
11577  Tavg_z0.0517_t12       0  1.0  0.0   63  307.008150 -2.423216e+04  1.838881  2.022465e-01      NaN
11578  Tavg_z0.0517_t12       0  1.0  0.0   64  306.926458 -5.151918e+04  2.000000  1.936237e-01      NaN
11579  Tavg_z0.0517_t12       0  1.0  0.0   65  306.887183 -3.648139e+04  1.936719  1.022244e-02      NaN
11580  Tavg_z0.0517_t12       0  1.0  0.0   66  306.897245 -4.911066e+04  2.000000  4.192781e-02      NaN
11581  Tavg_z0.0517_t12       0  1.0  0.0   67  307.004929 -2.760604e+04  1.865682  2.280981e-01      NaN
11582  Tavg_z0.0517_t12       0  1.0  0.0   68  306.929973 -5.308348e+04  2.000000  2.607881e-01      NaN
11583  Tavg_z0.0517_t12       0  1.0  0.0   69  306.930533 -5.242501e+04  2.000000  2.432669e-01      NaN
11584  Tavg_z0.0517_t12       0  1.0  0.0   70  306.984856 -5.314121e+04  2.000000  2.129924e-01      NaN
11585  Tavg_z0.0517_t12       0  1.0  0.0   71  307.100072 -5.474473e+04  2.000000  3.004380e-01      NaN
11586  Tavg_z0.0517_t12       0  1.0  0.0   72  307.122465 -8.860914e+03  1.636285  2.113635e-01      NaN
11587  Tavg_z0.0517_t12       0  1.0  0.0   73  306.938442 -3.033554e+04  1.895216  1.059845e-01      NaN
11588  Tavg_z0.0517_t12       0  1.0  0.0   74  306.968217 -1.482517e+04  1.770732  6.345554e-02      NaN
11589  Tavg_z0.0517_t12       0  1.0  0.0   75  306.926571 -5.231497e+04  2.000000  1.099878e-01      NaN
11590  Tavg_z0.0517_t12       0  1.0  0.0   76  306.984823 -5.460741e+04  2.000000  1.043129e-01      NaN
11591  Tavg_z0.0517_t12       0  1.0  0.0   77  306.991315 -1.800222e+04  1.806085  1.219435e-01      NaN
11592  Tavg_z0.0517_t12       0  1.0  0.0   78  306.986855 -2.336021e+04  1.834120  6.460284e-02      NaN
11593  Tavg_z0.0517_t12       0  1.0  0.0   79  306.985795 -5.316745e+04  2.000000  1.745057e-01      NaN
11594  Tavg_z0.0517_t12       0  1.0  0.0   80  307.026011 -2.073814e+02  1.024415  4.084823e-02      NaN
11595  Tavg_z0.0517_t12       0  1.0  0.0   81  306.898990 -3.838841e+04  1.951660  1.572446e-01      NaN
11596  Tavg_z0.0517_t12       0  1.0  0.0   82  306.934525 -6.809934e+03  1.647456  8.177158e-02      NaN
11597  Tavg_z0.0517_t12       0  1.0  0.0   83  306.923736 -4.667143e+04  2.000000  1.501768e-01      NaN
11598  Tavg_z0.0517_t12       0  1.0  0.0   84  307.329198 -6.417322e+04  2.000000  3.610874e-01      NaN
11599  Tavg_z0.0517_t12       0  1.0  0.0   85  306.912580 -1.647662e+03  1.450838  5.738965e-02      NaN
11600  Tavg_z0.0517_t12       0  1.0  0.0   86  306.908715 -2.994685e+04  1.895833  3.629222e-02      NaN
11601  Tavg_z0.0517_t12       0  1.0  0.0   87  306.943932 -6.004614e+02  1.247407  6.920458e-02      NaN
11602  Tavg_z0.0517_t12       0  1.0  0.0   88  306.949322 -1.790568e+04  1.809787  1.755695e-01      NaN
11603  Tavg_z0.0517_t12       0  1.0  0.0   89  306.927323 -2.029007e+04  1.861803  1.618765e-01      NaN
11604  Tavg_z0.0517_t12       0  1.0  0.0   90  306.928522 -3.493327e+04  1.918359  3.033544e-02      NaN
11605  Tavg_z0.0517_t12       0  1.0  0.0   91  307.117330 -1.279322e+04  1.703860  1.616221e-01      NaN
11606  Tavg_z0.0517_t12       0  1.0  0.0   92  306.886206 -1.174340e+04  1.760417  1.983135e-01      NaN
11607  Tavg_z0.0517_t12       0  1.0  0.0   93  306.926531 -8.745069e+03  1.774346  1.178713e-01      NaN
11608  Tavg_z0.0517_t12       0  1.0  0.0   94  307.098256 -5.151921e+04  2.000000  1.623317e-01      NaN
11609  Tavg_z0.0517_t12       0  1.0  0.0   95  306.988814 -2.678523e+04  1.865682  1.358689e-01      NaN
11610  Tavg_z0.0517_t12       0  1.0  0.0   96  306.926878 -5.299779e+04  2.000000  1.488752e-01      NaN
11611  Tavg_z0.0517_t12       0  1.0  0.0   97  306.899541 -5.223847e+04  2.000000  1.176903e-01      NaN
11612  Tavg_z0.0517_t12       0  1.0  0.0   98  307.301139 -5.715486e+04  2.000000  2.061910e-01      NaN
11613  Tavg_z0.0517_t12       0  1.0  0.0   99  306.898090 -5.211473e+04  2.000000  1.392816e-01      NaN
11614  Tavg_z0.0517_t12       0  1.0  0.0  100  306.880991 -5.025631e+04  2.000000  3.577833e-02      NaN
11615  Tavg_z0.0517_t12       0  1.0  1.0    0  306.870081 -2.567685e+03  2.000000  2.440233e-02      NaN
11616  Tavg_z0.0517_t12       0  1.0  1.0    1  306.874186 -4.557398e+02  1.656424  6.687870e-02      NaN
11617  Tavg_z0.0517_t12       0  1.0  1.0    2  306.879379 -7.525187e+01  1.333036  1.003035e-02      NaN
11618  Tavg_z0.0517_t12       0  1.0  1.0    3  306.870081 -2.567690e+03  2.000000  3.120917e-03      NaN
11619  Tavg_z0.0517_t12       0  1.0  1.0    4  306.869952 -2.564105e+03  2.000000  5.734477e-01      NaN
11620  Tavg_z0.0517_t12       0  1.0  1.0    5  306.874573 -2.658078e+02  1.567395  9.491132e-03      NaN
11621  Tavg_z0.0517_t12       0  1.0  1.0    6  306.870082 -2.516082e+03  1.996680  3.547176e-03      NaN
11622  Tavg_z0.0517_t12       0  1.0  1.0    7  306.872420 -1.385188e+02  1.424137  3.736943e-02      NaN
11623  Tavg_z0.0517_t12       0  1.0  1.0    8  306.871035 -1.337247e+02  1.420402  2.558317e-03      NaN
11624  Tavg_z0.0517_t12       0  1.0  1.0    9  306.870392 -2.602565e+03  2.000000  2.532113e-02      NaN
11625  Tavg_z0.0517_t12       0  1.0  1.0   10  306.870081 -2.567673e+03  2.000000  2.666972e-01      NaN
11626  Tavg_z0.0517_t12       0  1.0  1.0   11  306.870081 -2.567622e+03  2.000000  3.541297e-04      NaN
11627  Tavg_z0.0517_t12       0  1.0  1.0   12  306.870091 -2.368101e+03  1.983887  2.616974e-01      NaN
11628  Tavg_z0.0517_t12       0  1.0  1.0   13  306.870081 -2.571292e+03  2.000000  4.816894e-02      NaN
11629  Tavg_z0.0517_t12       0  1.0  1.0   14  306.873826 -2.663211e+03  2.000000  8.819930e-04      NaN
11630  Tavg_z0.0517_t12       0  1.0  1.0   15  306.870386 -5.158285e+02  1.740404  2.043563e-03      NaN
11631  Tavg_z0.0517_t12       0  1.0  1.0   16  306.870200 -4.390109e+02  1.725240  6.570631e-02      NaN
11632  Tavg_z0.0517_t12       0  1.0  1.0   17  306.870388 -2.567685e+03  2.000000  1.409944e-03      NaN
11633  Tavg_z0.0517_t12       0  1.0  1.0   18  306.956158 -5.182203e-01  0.250000  1.311555e-02      NaN
11634  Tavg_z0.0517_t12       0  1.0  1.0   19  306.871871 -1.650825e+02  1.524891  9.222349e-02      NaN
11635  Tavg_z0.0517_t12       0  1.0  1.0   20  306.977611 -7.134531e-01  0.250000  3.208550e-01      NaN
11636  Tavg_z0.0517_t12       0  1.0  1.0   21  306.871464 -2.606083e+03  2.000000  2.661318e-01      NaN
11637  Tavg_z0.0517_t12       0  1.0  1.0   22  307.008858 -8.312349e-01  0.250000  2.027152e-01      NaN
11638  Tavg_z0.0517_t12       0  1.0  1.0   23  306.870081 -2.567687e+03  2.000000  1.535300e-03      NaN
11639  Tavg_z0.0517_t12       0  1.0  1.0   24  306.975595 -6.463222e-01  0.250000  1.020967e-02      NaN
11640  Tavg_z0.0517_t12       0  1.0  1.0   25  306.870087 -2.343350e+03  1.985059  5.398307e-05      NaN
11641  Tavg_z0.0517_t12       0  1.0  1.0   26  306.869952 -2.562889e+03  2.000000  4.180732e-01      NaN
11642  Tavg_z0.0517_t12       0  1.0  1.0   27  306.870118 -2.843964e+03  2.000000  3.248988e-02      NaN
11643  Tavg_z0.0517_t12       0  1.0  1.0   28  306.870083 -2.572577e+03  2.000000  3.954014e-01      NaN
11644  Tavg_z0.0517_t12       0  1.0  1.0   29  306.873939 -1.706601e+01  1.012020  3.128004e-01      NaN
11645  Tavg_z0.0517_t12       0  1.0  1.0   30  306.870505 -1.969406e+03  1.955273  5.233825e-03      NaN
11646  Tavg_z0.0517_t12       0  1.0  1.0   31  306.870105 -1.706454e+03  1.935547  5.089222e-02      NaN
11647  Tavg_z0.0517_t12       0  1.0  1.0   32  306.871827 -2.891257e+03  2.000000  5.164444e-02      NaN
11648  Tavg_z0.0517_t12       0  1.0  1.0   33  301.984869  2.480101e+01  0.250000  4.382709e-01      NaN
11649  Tavg_z0.0517_t12       0  1.0  1.0   34  306.870356 -2.128557e+03  2.000000  3.760485e-03      NaN
11650  Tavg_z0.0517_t12       0  1.0  1.0   35  306.870090 -2.342279e+03  1.984961  8.197592e-03      NaN
11651  Tavg_z0.0517_t12       0  1.0  1.0   36  306.870417 -1.719809e+03  1.938965  1.418521e-03      NaN
11652  Tavg_z0.0517_t12       0  1.0  1.0   37  306.870082 -2.581616e+03  2.000000  2.857467e-01      NaN
11653  Tavg_z0.0517_t12       0  1.0  1.0   38  306.972510 -6.707351e-01  0.250000  3.199590e-01      NaN
11654  Tavg_z0.0517_t12       0  1.0  1.0   39  306.860124 -2.021000e+03  2.000000  5.993413e-03      NaN
11655  Tavg_z0.0517_t12       0  1.0  1.0   40  306.870389 -2.576281e+03  2.000000  5.443091e-03      NaN
11656  Tavg_z0.0517_t12       0  1.0  1.0   41  306.870036 -2.528105e+03  2.000000  5.871684e-03      NaN
11657  Tavg_z0.0517_t12       0  1.0  1.0   42  306.871466 -2.606006e+03  2.000000  5.105938e-01      NaN
11658  Tavg_z0.0517_t12       0  1.0  1.0   43  306.878346 -2.586106e+03  1.984375  3.801927e-01      NaN
11659  Tavg_z0.0517_t12       0  1.0  1.0   44  306.872241 -8.022398e+02  1.748603  8.062794e-03      NaN
11660  Tavg_z0.0517_t12       0  1.0  1.0   45  306.955708 -5.152540e-01  0.250000  1.207047e-02      NaN
11661  Tavg_z0.0517_t12       0  1.0  1.0   46  306.901052 -1.966572e-01  0.250000  2.669849e-01      NaN
11662  Tavg_z0.0517_t12       0  1.0  1.0   47  306.860143 -2.282933e+03  2.000000  6.614556e-01      NaN
11663  Tavg_z0.0517_t12       0  1.0  1.0   48  306.873951 -1.154831e+03  1.835795  5.410758e-03      NaN
11664  Tavg_z0.0517_t12       0  1.0  1.0   49  306.870408 -2.102645e+03  1.963184  7.407853e-03      NaN
11665  Tavg_z0.0517_t12       0  1.0  1.0   50  306.871522 -2.000651e+03  1.948201  8.981733e-03      NaN
11666  Tavg_z0.0517_t12       0  1.0  1.0   51  306.870081 -2.570909e+03  2.000000  5.100672e-01      NaN
11667  Tavg_z0.0517_t12       0  1.0  1.0   52  306.870390 -2.602069e+03  2.000000  2.101613e-01      NaN
11668  Tavg_z0.0517_t12       0  1.0  1.0   53  306.915613 -4.760088e-01  0.309082  2.232036e-01      NaN
11669  Tavg_z0.0517_t12       0  1.0  1.0   54  306.871461 -2.567687e+03  2.000000  5.639083e-03      NaN
11670  Tavg_z0.0517_t12       0  1.0  1.0   55  306.870091 -2.258446e+03  1.977832  1.323979e-01      NaN
11671  Tavg_z0.0517_t12       0  1.0  1.0   56  306.870397 -2.390521e+03  1.985352  1.037165e-01      NaN
11672  Tavg_z0.0517_t12       0  1.0  1.0   57  306.870081 -2.567686e+03  2.000000  3.722659e-01      NaN
11673  Tavg_z0.0517_t12       0  1.0  1.0   58  306.870387 -2.567122e+03  2.000000  5.757529e-02      NaN
11674  Tavg_z0.0517_t12       0  1.0  1.0   59  306.870159 -2.364381e+03  2.000000  9.642304e-04      NaN
11675  Tavg_z0.0517_t12       0  1.0  1.0   60  306.923769 -3.565666e-01  0.250000  5.329906e-01      NaN
11676  Tavg_z0.0517_t12       0  1.0  1.0   61  307.005177 -8.025185e-01  0.250000  7.319630e-02      NaN
11677  Tavg_z0.0517_t12       0  1.0  1.0   62  306.871423 -5.730233e+01  1.271756  5.088689e-02      NaN
11678  Tavg_z0.0517_t12       0  1.0  1.0   63  306.872820 -2.825532e+01  1.194233  3.727361e-01      NaN
11679  Tavg_z0.0517_t12       0  1.0  1.0   64  306.874545 -3.721697e+02  1.612999  1.857384e-01      NaN
11680  Tavg_z0.0517_t12       0  1.0  1.0   65  306.865309 -1.534776e+03  2.000000  5.101571e-01      NaN
11681  Tavg_z0.0517_t12       0  1.0  1.0   66  306.871934 -9.345790e+02  1.799208  6.127846e-01      NaN
11682  Tavg_z0.0517_t12       0  1.0  1.0   67  306.870038 -2.523131e+03  1.999609  3.688448e-02      NaN
11683  Tavg_z0.0517_t12       0  1.0  1.0   68  306.870389 -2.576281e+03  2.000000  6.081247e-01      NaN
11684  Tavg_z0.0517_t12       0  1.0  1.0   69  306.870527 -1.581142e+03  1.912305  2.222472e-03      NaN
11685  Tavg_z0.0517_t12       0  1.0  1.0   70  306.860050 -9.246653e+02  1.920508  5.881277e-03      NaN
11686  Tavg_z0.0517_t12       0  1.0  1.0   71  306.860122 -1.996685e+03  2.000000  9.562709e-02      NaN
11687  Tavg_z0.0517_t12       0  1.0  1.0   72  301.987448  2.478089e+01  0.250000  4.430230e-01      NaN
11688  Tavg_z0.0517_t12       0  1.0  1.0   73  306.918724 -2.348557e+00  0.604012  1.131027e-02      NaN
11689  Tavg_z0.0517_t12       0  1.0  1.0   74  306.870101 -2.843671e+03  2.000000  2.931254e-01      NaN
11690  Tavg_z0.0517_t12       0  1.0  1.0   75  306.870550 -2.856176e+03  2.000000  1.647475e-01      NaN
11691  Tavg_z0.0517_t12       0  1.0  1.0   76  306.873876 -3.412148e+03  2.000000  3.109225e-02      NaN
11692  Tavg_z0.0517_t12       0  1.0  1.0   77  306.870388 -2.567678e+03  2.000000  2.627169e-01      NaN
11693  Tavg_z0.0517_t12       0  1.0  1.0   78  306.873975 -5.628023e+02  1.739963  5.317979e-02      NaN
11694  Tavg_z0.0517_t12       0  1.0  1.0   79  306.870907 -9.900006e+02  1.829888  3.321641e-03      NaN
11695  Tavg_z0.0517_t12       0  1.0  1.0   80  306.870134 -1.665915e+03  2.000000  1.858581e-01      NaN
11696  Tavg_z0.0517_t12       0  1.0  1.0   81  306.870341 -4.809873e+02  1.690093  3.577670e-01      NaN
11697  Tavg_z0.0517_t12       0  1.0  1.0   82  306.870664 -1.879630e+02  1.571463  1.402877e-01      NaN
11698  Tavg_z0.0517_t12       0  1.0  1.0   83  301.987449  2.478088e+01  0.250000  4.369987e-01      NaN
11699  Tavg_z0.0517_t12       0  1.0  1.0   84  306.870145 -1.451563e+03  1.906445  4.494922e-03      NaN
11700  Tavg_z0.0517_t12       0  1.0  1.0   85  306.860144 -2.295246e+03  2.000000  3.125792e-01      NaN
11701  Tavg_z0.0517_t12       0  1.0  1.0   86  306.879513 -1.870254e+01  1.093770  7.641246e-02      NaN
11702  Tavg_z0.0517_t12       0  1.0  1.0   87  306.873184 -2.862663e+02  1.545424  5.106370e-01      NaN
11703  Tavg_z0.0517_t12       0  1.0  1.0   88  302.647651  1.963054e+01  0.250000  6.550234e-01      NaN
11704  Tavg_z0.0517_t12       0  1.0  1.0   89  306.871699 -1.034566e+03  1.819573  1.860493e-01      NaN
11705  Tavg_z0.0517_t12       0  1.0  1.0   90  306.871469 -2.627861e+03  2.000000  2.824557e-03      NaN
11706  Tavg_z0.0517_t12       0  1.0  1.0   91  306.874300 -2.579420e+02  1.564461  9.264243e-02      NaN
11707  Tavg_z0.0517_t12       0  1.0  1.0   92  306.870402 -2.290039e+03  1.976953  2.941193e-03      NaN
11708  Tavg_z0.0517_t12       0  1.0  1.0   93  306.870171 -4.280115e+02  1.733911  1.001884e-01      NaN
11709  Tavg_z0.0517_t12       0  1.0  1.0   94  306.870381 -2.472307e+03  2.000000  2.631868e-01      NaN
11710  Tavg_z0.0517_t12       0  1.0  1.0   95  306.873933 -1.268730e+03  1.853956  3.926857e-01      NaN
11711  Tavg_z0.0517_t12       0  1.0  1.0   96  306.869951 -2.560438e+03  2.000000  2.866244e-02      NaN
11712  Tavg_z0.0517_t12       0  1.0  1.0   97  306.870081 -2.567682e+03  2.000000  1.107199e-02      NaN
11713  Tavg_z0.0517_t12       0  1.0  1.0   98  306.869940 -2.525434e+03  2.000000  3.719273e-01      NaN
11714  Tavg_z0.0517_t12       0  1.0  1.0   99  306.870080 -2.568644e+03  2.000000  4.973630e-02      NaN
11715  Tavg_z0.0517_t12       0  1.0  1.0  100  306.870457 -2.140901e+03  1.963672  4.209827e-02      NaN
11716  Tavg_z0.0517_t12       0  2.0  0.0    0  306.993399 -4.294537e+04  2.000000  2.567770e-01      NaN
11717  Tavg_z0.0517_t12       0  2.0  0.0    1  306.963289 -5.177493e+04  2.000000  1.664092e-01      NaN
11718  Tavg_z0.0517_t12       0  2.0  0.0    2  307.178602 -4.699464e+03  1.537714  2.109725e-01      NaN
11719  Tavg_z0.0517_t12       0  2.0  0.0    3  307.053900 -4.815841e+04  2.000000  3.403334e-01      NaN
11720  Tavg_z0.0517_t12       0  2.0  0.0    4  306.973794 -1.365591e+04  1.764384  1.470841e-01      NaN
11721  Tavg_z0.0517_t12       0  2.0  0.0    5  307.037294 -4.576994e+04  2.000000  2.271992e-01      NaN
11722  Tavg_z0.0517_t12       0  2.0  0.0    6  306.954673 -5.151349e+04  2.000000  1.682851e-01      NaN
11723  Tavg_z0.0517_t12       0  2.0  0.0    7  306.954068 -4.739485e+04  2.000000  1.880488e-01      NaN
11724  Tavg_z0.0517_t12       0  2.0  0.0    8  306.965807 -5.255414e+04  2.000000  1.354179e-01      NaN
11725  Tavg_z0.0517_t12       0  2.0  0.0    9  307.004224 -1.061514e+04  1.708577  1.376380e-01      NaN
11726  Tavg_z0.0517_t12       0  2.0  0.0   10  306.940653 -2.638557e+04  1.872647  1.128318e-01      NaN
11727  Tavg_z0.0517_t12       0  2.0  0.0   11  306.928666 -1.822901e+04  1.846022  5.916485e-02      NaN
11728  Tavg_z0.0517_t12       0  2.0  0.0   12  306.922392 -4.227284e+04  1.988770  1.767216e-01      NaN
11729  Tavg_z0.0517_t12       0  2.0  0.0   13  307.160098 -4.973264e+04  2.000000  2.642622e-01      NaN
11730  Tavg_z0.0517_t12       0  2.0  0.0   14  306.932830 -5.053266e+04  2.000000  4.046599e-02      NaN
11731  Tavg_z0.0517_t12       0  2.0  0.0   15  306.941006 -4.447294e+04  2.000000  7.160935e-02      NaN
11732  Tavg_z0.0517_t12       0  2.0  0.0   16  306.908466 -2.894639e+04  1.962500  1.021907e-01      NaN
11733  Tavg_z0.0517_t12       0  2.0  0.0   17  306.933425 -5.051182e+04  2.000000  6.268521e-02      NaN
11734  Tavg_z0.0517_t12       0  2.0  0.0   18  307.096197 -1.375869e+03  1.307324  1.451828e-01      NaN
11735  Tavg_z0.0517_t12       0  2.0  0.0   19  306.966275 -3.466727e+04  2.000000  2.241329e-01      NaN
11736  Tavg_z0.0517_t12       0  2.0  0.0   20  307.119177 -4.574869e+04  2.000000  3.094275e-01      NaN
11737  Tavg_z0.0517_t12       0  2.0  0.0   21  307.136592 -6.452886e+02  1.192681  2.778501e-01      NaN
11738  Tavg_z0.0517_t12       0  2.0  0.0   22  307.009273 -3.935709e+04  2.000000  3.093780e-01      NaN
11739  Tavg_z0.0517_t12       0  2.0  0.0   23  307.313909 -2.111733e+03  1.366170  3.159902e-01      NaN
11740  Tavg_z0.0517_t12       0  2.0  0.0   24  306.840966 -2.415272e+03  1.557145  1.707205e-01      NaN
11741  Tavg_z0.0517_t12       0  2.0  0.0   25  307.136222 -1.690207e+03  1.345003  2.025329e-01      NaN
11742  Tavg_z0.0517_t12       0  2.0  0.0   26  307.027033 -4.521625e+04  2.000000  2.639680e-01      NaN
11743  Tavg_z0.0517_t12       0  2.0  0.0   27  306.951218 -2.344546e+04  1.879171  9.937116e-02      NaN
11744  Tavg_z0.0517_t12       0  2.0  0.0   28  307.210991 -5.971140e+04  2.000000  2.597071e-01      NaN
11745  Tavg_z0.0517_t12       0  2.0  0.0   29  306.945565 -4.131330e+04  2.000000  2.804288e-01      NaN
11746  Tavg_z0.0517_t12       0  2.0  0.0   30  306.975174 -3.903067e+04  2.000000  1.275009e-01      NaN
11747  Tavg_z0.0517_t12       0  2.0  0.0   31  307.101458 -4.218844e+03  1.534725  2.827333e-01      NaN
11748  Tavg_z0.0517_t12       0  2.0  0.0   32  306.966066 -4.432790e+04  2.000000  1.353806e-01      NaN
11749  Tavg_z0.0517_t12       0  2.0  0.0   33  306.906278 -4.346206e+04  2.000000  1.399665e-01      NaN
11750  Tavg_z0.0517_t12       0  2.0  0.0   34  307.135248 -3.943459e+04  1.926855  2.114585e-01      NaN
11751  Tavg_z0.0517_t12       0  2.0  0.0   35  307.333805 -4.532856e+02  1.069732  2.467339e-01      NaN
11752  Tavg_z0.0517_t12       0  2.0  0.0   36  307.033261 -4.657120e+04  2.000000  3.347884e-01      NaN
11753  Tavg_z0.0517_t12       0  2.0  0.0   37  306.944541 -5.131439e+04  2.000000  1.913782e-01      NaN
11754  Tavg_z0.0517_t12       0  2.0  0.0   38  307.055467 -2.617638e+03  1.433337  1.190402e-01      NaN
11755  Tavg_z0.0517_t12       0  2.0  0.0   39  306.976476 -1.227909e+04  1.745341  2.646195e-01      NaN
11756  Tavg_z0.0517_t12       0  2.0  0.0   40  306.957930 -4.123578e+04  2.000000  1.044744e-01      NaN
11757  Tavg_z0.0517_t12       0  2.0  0.0   41  307.140191 -2.066963e+04  1.834384  2.250466e-01      NaN
11758  Tavg_z0.0517_t12       0  2.0  0.0   42  306.978797 -4.555625e+04  2.000000  2.444521e-01      NaN
11759  Tavg_z0.0517_t12       0  2.0  0.0   43  306.997930 -2.968245e+04  1.914648  1.349335e-01      NaN
11760  Tavg_z0.0517_t12       0  2.0  0.0   44  306.973175 -4.346666e+04  2.000000  2.595921e-01      NaN
11761  Tavg_z0.0517_t12       0  2.0  0.0   45  307.133395 -2.110110e+03  1.360360  1.505826e-01      NaN
11762  Tavg_z0.0517_t12       0  2.0  0.0   46  307.017841 -4.717324e+02  1.203423  8.738315e-02      NaN
